BOX, DISTRICT, LAT, LONG
2679,12,-71.12945760807546,42.273455654382175
2677,10,-71.13283260991966,42.27567765474941
2782,10,-71.1435756140802,42.2824936562283
2786,10,-71.13947861291584,42.27985565525978
2674,10,-71.13646361091065,42.27680865459058
2673,10,-71.13744861211832,42.27740765471043
1845,7,-71.05460558630529,42.31505066481898
2771,10,-71.14057461299738,42.286119656977256
2773,10,-71.14478961438542,42.28607865621963
2762,10,-71.1329846103716,42.28638565663449
2761,10,-71.1296836102126,42.28726865726707
2768,10,-71.13759061174909,42.28621665666606
5496,11,-71.17059362775272,42.35487266931648
2923,10,-71.14797061464674,42.27726565519526
2928,10,-71.15390961796308,42.280913655733535
2925,10,-71.15070261629526,42.27900965498587
1568,4,-71.084586597735,42.34618666958912
6215,1,-71.01837257819741,42.38266167858196
6241,1,-71.00701157534829,42.38666767999618
6225,1,-71.01252457756154,42.38471367907221
6224,1,-71.01508357798494,42.383857679386935
6194,1,-71.0254315802838,42.38000367810742
6163,1,-71.03891858559325,42.37503567656518
6271,1,-70.99683257229627,42.39020268110579
1524,4,-71.07096759384824,42.34698967027159
1537,4,-71.07445759567035,42.35401767205353
1539,4,-71.07350559524707,42.35208567141114
1538,4,-71.07268359409572,42.35044367160483
3393,8,-71.08002959345619,42.293825660014996
2776,10,-71.13945161277,42.283625656334934
5484,11,-71.16423462498086,42.355470668857635
5485,11,-71.16763362592617,42.35378666823522
5483,11,-71.16720362691758,42.355000669050014
751,6,-71.03231458136992,42.34368767135137
752,6,-71.03171758027722,42.344085671148555
7531,6,-71.03058858050584,42.346660671854124
7541,6,-71.02902557965919,42.34666467254118
7523,6,-71.02359257874713,42.34628967204507
7526,6,-71.02568657849328,42.34750667155752
7529,6,-71.02927657965112,42.345717671839814
7544,6,-71.03171958080037,42.34482567144103
7535,6,-71.03199358119319,42.345291671435014
7516,6,-71.03730558309434,42.34450367093993
7515,6,-71.03879158327848,42.34438067126472
7517,6,-71.0371935827118,42.34624267125843
7519,6,-71.03551358226282,42.34671167113143
7511,6,-71.03409458148577,42.346297670964816
7533,6,-71.03333258082547,42.34763467192835
7518,6,-71.03766258249055,42.34372567045867
7127,6,-71.03752758232497,42.34828767124063
7521,6,-71.02781257978309,42.34491167132797
7126,6,-71.03577158231124,42.34907867263368
1565,4,-71.07953359613231,42.34592466959992
4228,3,-71.0509975892808,42.37705367662682
4217,3,-71.05243958990309,42.376200677182915
4214,3,-71.05519559071445,42.37450367671205
4242,3,-71.05102458811459,42.374986676568014
4238,3,-71.05129358952132,42.37360567695751
4224,3,-71.05217058925918,42.37830767738694
4222,3,-71.05310858977238,42.37685567667142
4129,3,-71.05432358929897,42.37707167673109
4216,3,-71.05452659024944,42.37583867679308
4219,3,-71.0549085894055,42.37484767660139
421,3,-71.05625959063607,42.374707675884906
4255,3,-71.0580765908847,42.373401675615966
4211,3,-71.05675959121973,42.37346067576157
4253,3,-71.05693459119813,42.373067675644414
4232,3,-71.05605859008713,42.37310567550733
4254,3,-71.05649859028038,42.37260267579228
4231,3,-71.05494259007416,42.37205567581201
4213,3,-71.05481958960536,42.37224067633495
4233,3,-71.05446359018676,42.37279167524708
4235,3,-71.05365858985296,42.37285967642019
4243,3,-71.05515559019399,42.37410167589279
4212,3,-71.05566659055513,42.3739476759547
2763,10,-71.13287761126908,42.28441965692546
1773,7,-71.06937259190485,42.31429266473728
6244,1,-71.0036255742065,42.388606680521086
3693,12,-71.10593660048065,42.26762965451863
3176,7,-71.05032358373685,42.29879066184329
5326,11,-71.15010762038096,42.344600667069216
1351,3,-71.06752559397086,42.36389767336928
1352,3,-71.06695559337298,42.363443674395356
1781,7,-71.07952959416421,42.313503663783855
3655,12,-71.09356559764358,42.2743076558996
3625,8,-71.09101059708368,42.28554765755395
3639,8,-71.09250559719912,42.280932657109865
3365,9,-71.08646859624005,42.299603661484326
3623,12,-71.08991759716086,42.28892965902072
3638,8,-71.09201959680726,42.282475657602774
3618,12,-71.0896505965602,42.28971065872543
179,9,-71.08077159586892,42.31188666363374
3624,12,-71.09049359658363,42.28720065787317
175,5,-71.0767225947325,42.322903665215215
3626,12,-71.09145959753832,42.28427765731053
3656,12,-71.09363059736722,42.2711636556767
3658,12,-71.09382359723611,42.26755865444206
2199,9,-71.08466159548983,42.30528666205301
3654,12,-71.0935335975834,42.27517065586663
3648,12,-71.09351859657144,42.277128657144814
3649,12,-71.09310659683844,42.279399657051
1761,7,-71.07814659435968,42.31624566468574
1792,9,-71.08271259528452,42.30956666270525
1752,7,-71.07771559377653,42.319047664819195
267,10,-71.1389486121377,42.27395865464786
2672,10,-71.13738361144146,42.27412065473068
2671,10,-71.1371796114854,42.27546165418177
2675,10,-71.13640361147975,42.27420765424098
2676,10,-71.13675561148644,42.27201165412892
6232,1,-71.01271357660045,42.391086681463946
6157,1,-71.04225958639235,42.371644675698406
7262,6,-71.05943958881873,42.324798666733734
7263,6,-71.06068358882936,42.32298166623461
1313,3,-71.06114559199573,42.36551967431242
1314,3,-71.06091059221548,42.36701167461062
1316,3,-71.05985759116884,42.36431867414138
1311,3,-71.05941759136631,42.364664674139306
1322,3,-71.05840759037643,42.36248167375026
1321,3,-71.05997459209505,42.36311767356874
1342,3,-71.06354559270795,42.36425367370307
1343,3,-71.06426359252146,42.365172674412236
1341,3,-71.06339959268797,42.36567067357212
1345,3,-71.06610759323833,42.36602767441183
1344,3,-71.06736659342508,42.36625467385601
1346,3,-71.06945959540337,42.3653786733912
1353,3,-71.06511259274463,42.363215673378114
1347,3,-71.06982559456836,42.364275673733005
1358,3,-71.06427759305565,42.36225267382071
1338,3,-71.06383859232487,42.36243667389643
135,3,-71.06875759455237,42.362566673275666
1356,3,-71.07079159447483,42.36178767279751
1355,3,-71.06783459349903,42.362165673359385
1369,3,-71.06871359421675,42.361181672990696
1354,3,-71.06698559265378,42.36113867333788
136,3,-71.06558059254913,42.36111667368393
1368,3,-71.06366259239769,42.36119267364573
1334,3,-71.06279959236417,42.361213673519885
1332,3,-71.0612365918434,42.36107167311489
1335,3,-71.06142359151795,42.3600456737948
1367,3,-71.06291659187406,42.359472673427604
1364,3,-71.06508259237211,42.359375673307724
1363,3,-71.06637159345594,42.35955867382337
1365,3,-71.0686395938842,42.35962367254654
1382,3,-71.07082159477429,42.35939667292036
1366,3,-71.07006559496023,42.360313672730435
138,3,-71.07199259536876,42.35940767285081
1381,3,-71.07178759436117,42.35876967281489
1383,3,-71.07074759509192,42.35769867286113
1384,3,-71.07167059492204,42.35662767261936
1374,3,-71.06853759411133,42.35801267259994
1362,3,-71.06767359357843,42.358899672768885
1373,3,-71.06612259281344,42.35782867221317
1372,3,-71.06440959232356,42.35841267220798
139,3,-71.0678495928944,42.35433467131696
1441,3,-71.06221359101968,42.35623867252131
1442,3,-71.06053059057072,42.355470671871245
1443,3,-71.05862759099223,42.354161672205485
1461,3,-71.06175959089832,42.35437767176785
1463,3,-71.06019359174249,42.353555671739436
1451,3,-71.06416059189277,42.353458671706704
1471,4,-71.06256559171999,42.35238767135535
1472,4,-71.06127659161417,42.35250667161525
1432,3,-71.05938859089862,42.35252767186874
148,4,-71.06298959194618,42.350937671679105
1491,4,-71.06158459086193,42.3506566712542
1435,4,-71.05934458993961,42.35002967141523
1492,4,-71.06126259080489,42.349488671509945
1493,4,-71.06117459109838,42.34816867066354
1494,4,-71.06231559202942,42.34870967120727
1481,4,-71.06414659243977,42.34840667065233
1483,4,-71.06568359203828,42.34768167025613
1482,4,-71.06440959162592,42.34735767039943
1495,4,-71.06296059109269,42.34698967105095
1434,4,-71.05720758977787,42.351640671533595
1412,3,-71.05550959004913,42.35272267212489
1431,3,-71.05728058968516,42.35330667206836
1536,4,-71.07606159613825,42.35249567126928
1574,4,-71.08036559745246,42.351262671369
1577,4,-71.08264859890699,42.35066767055895
1584,5,-71.0886065991848,42.34908867048084
158,4,-71.08906060013612,42.35005067022688
1586,5,-71.09165160096407,42.348082669786784
1589,5,-71.09289560147333,42.34808267028787
159,4,-71.08766959909822,42.34728166988709
1591,5,-71.09023160005889,42.346600669592284
1593,5,-71.08951459975314,42.345421669600825
1594,5,-71.08807959951159,42.344361670158285
1567,4,-71.08664459924586,42.34520466918705
1595,5,-71.08683559945996,42.343474669238
1598,5,-71.09030460003882,42.342587669809475
1599,5,-71.09225160073893,42.34105166824441
1597,5,-71.08736259959174,42.342067668990275
1566,5,-71.08499059764607,42.342781669561774
1557,4,-71.07963359604837,42.33970966870267
1551,4,-71.07733559585941,42.34096466946982
1542,4,-71.07541759522768,42.34200366861006
1556,4,-71.07679359605785,42.34367967001297
1541,4,-71.07377759436012,42.34281466989017
1545,4,-71.07487559464033,42.34511867063966
